,Titel,Autor,Strophen,Verse,Anthologie,Jahr,Hrsg,ID,text
50,Auf der Fahrt nach Berlin,"Hart, Julius",8,8,"Moderne Dichtercharaktere, hrsg. von Wilhelm Arent. Mit Einleitungen von Hermann Conradi und Karl Henckell. Leipzig 1885.",b'1885',"Arent, Wilhelm",l00180054,"von weste|westen kommen ich     schwer haideduft umfließen ich noch   vor mein auge heben sich weiß birke in die klar luft   von laut schwarm|schwärmen krähenvolks umstoben   weit   weit die haide   hügel gelb sand es   und binsenüberwachs'ne wasserkolke   fern zeihen|ziehen eine schäfer in die sonnenbrand die braunglühendem reich verträumen mit sein volk   von weste|westen kommen ich und mein geist umspann weichmüthig rasch entschwund'ne jugendtag   sein es eine thräne   die von+die aug ' ich rinnen   klang es von die mund wie sehnsuchtsbange klage       von weste|westen kommen ich und mein geist entfliegen voran und weit in dunkel zukunftstunden     wohl heben er mächtig sich   sein flug sein hoch   und schlacht|schlachten sehen er   drang und blut'ge wunde   vorbei die spiel   durch die nebelschwall des grauend septembermorgens jagen des zug rad   und von+die dumpf schall stöhnen   dröhnen und sausen es in+die eng eisenwagen     zerzaust wolke   winddurchwühlter wald und braun felsen schießen wirr vorüber   dort grauen die havel   und die wasser schwallt   die brücke   hei   dumpf brausen die zug hinüber   die fenster auf   dort drüben liegen berlin   dampfen wallen empor und qualm   in schwarz schleier hängen tief und steif die wolke drüber hin   die bleich luft drücken schwer und liegen wie bleiern     eine flammenheerd darunter   eine vulkan   von million feuerbränden lodernd       eine paradies   eine süß kanaan     eine höllenreich und schatten bleich vermodernd   hindonnernd rollen die zug   es sausen die luft   eine andere rasen dumpfrasselnd risch vorüber   fabrik rauchgeschwärzt   in+die wasserduft glänzen flamm ' um flamme   düster   trüb ' und trüb   engbrüst'ge haus   fenster schmal und klein   bald brausen es dumpf durch dunkel brückenbogen   bald blitzen es unter wir wie grau wasserschein   und unter kahn wandeln müd ' die woge|wogen   vorbei   vorüber   und eine geller pfiff   weiß fliegen die dampf       eine knirschen an die schiene   die bremse stöhnen laut unter stark griff     langsam nun   es glänzen in aller miene   glashalle über wir   rings menschenwirr'n       halt   und                   ""                   berlin                     ""                   hinaus aus eng wagen                     ""                   berlin                     ""                                     ""                   berlin                     ""                   nun hoch die jung stirn   ins wild leben laß du mächtig tragen   berlin   berlin   die menge drängen und wallen   werden du versinken hier in dunkel masse     und über du hinschreitend stumm und kalt   werden niemand dein schwach hand erfassen   du suchen   du suchen die welt in dies flut   suchen glühend rose   grün lorbeerkronen       schauen dort hinaus       die luft durchquillt es wie blut   es brennen die schlacht und niemand werden du schonen   schauen dort hinaus   es flammen die luft und glühen   horch geigenton zu tanz und üpp'gem reigen   schauen dort hinaus   die fahl nebel sprühen   aus die gerippe nackt herniedersteigen     zusammen liegen hier tod und lebenslust   und licht und nebel in die lang gasse       nun zeuch hinab   so stolz und selbstbewusst   welche ' spur wollen du in dies flut|fluten lassen   "
51,Am Morgen,"Hart, Julius",15,4,"Moderne Dichtercharaktere, hrsg. von Wilhelm Arent. Mit Einleitungen von Hermann Conradi und Karl Henckell. Leipzig 1885.",b'1885',"Arent, Wilhelm",l00180055,fahl morgenglanz   graue dämmerlicht   und in+die spiegel dort starren mein angesicht   von die letzt kuss beben mein mund noch bangen   horch   noch tönen sein schritt dumpf hinab die gang   auf die treppe knirschen leise noch sein fuß   schwer die thüre fallen|fällen wie eine todesgruß   wie eine todesgruß   und die traum zerrinnen     in die heiß nacht stöhnen die morgenwind   eben noch so reich an verliebt gluth   jetzt so arm und leer   und verstören mein muth   thränennaß mein blick   und mein kopf so schwer     all geben ich hin   und ich haben ' nichts mehr   und besäß ich es noch   wieder geben ' ich es du   träf dein liebeskuß mund und seele ich   dennoch wissen ich es wohl   aus die nebel dort weben in mein tag tod und schmach sich fort   finster starren ich an eine medusenhaupt   meine zukunft du   schlangenwirrumlaubt   zu so wenige lust   so viele leid erkorn   mutter   fluch auf du   dass du ich geborn   fluch auf du   du welt   die so rasch verdammen   was durch die natur ringsum gluthend flammen   liebe   du allein retten du dein kind   streif mit dein mund meine lippe lind   lassen ich einmal ruhen noch in dein schooß   kommen in mein herz leuchtend   schön und groß   kommen wie du wollen   wie die morgenroth   kommen ' in nacht und sturm gleich die würger tod   bleichen in+die morgenglanz   rothe rose ihr     liebe   bett ' eine grab unter rose ich   
52,Dunkle Stunden,"Hart, Julius",44,2,"Moderne Dichtercharaktere, hrsg. von Wilhelm Arent. Mit Einleitungen von Hermann Conradi und Karl Henckell. Leipzig 1885.",b'1885',"Arent, Wilhelm",l00180056,"novemberwind   novemberwind   die himmel so grau und die wald entlauben   und die luft so kalt   die luft so schaurig   stumm liegen an mein brust dein haupt   dein haupt   du   die name nie mein lied   mein mund niemals bekennen   obwohl mein herz doch alle zeit für du in feuer|feuern die liebe brennen   dein antlitz blass wie die fahl licht   wie die scheidend sonne kalt strahl   und ich hören die herz dumpf schlag   wie grabeslaut voll bange qual   und immer und immer bei nacht und tag   und immer und immer in lust und in schmerz tönen in mein ohr dein stimme klang und greifen mit dorn in mein herz                     ""                   o wenden von ich dein auge ab und küssen ich nicht mit dies gluth   du wissen ja nicht   wie bitterweh ich all ' dein heiß liebe thut   schauen du ich an   erschauern ich die herz vor angst und dunkel weh   und mein arm seele zittern   wenn ich in dein auge seh '   nein   gehen ' hinfort   und wenden nicht dein angesicht zu ich zurück   ich haben ' auf alle ' und ewig zeit verlieren die liebe   verlieren mein glück   wohl fühlen ' ich hier   wenn es ich bedrängen   und liegen ' ich ohne schlaf und ruhen '   dass ich ohne du vergehen müssen   denn alle ' mein liebe   die sein du   mein arm|arme möcht ' ich schlingen wohl und halten du und küssen du   doch längst vergang'ne tag dringen|drängen sich dunkel zwischen du und ich   vor mein seele steigen es auf   verfließen sein schon jahr um jahr   doch heben sich es auf vor mein geist so schaurig und so düster klar   mein erst süß jugendzeit   licht wie die frühling in+die blüthenschein   und mein erst   mein erst liebestraum hüllen mit zaubern die seele ich ein   o fragen ich nicht   wie es einst geschehen     o wenden du ab   sehen ich nicht an   ich können nicht schauen   wie du weinen   du herzgeliebter theurer mann   wie die nacht einst kommen von rosenduft berauschen und trunken von mondesglanz   und die nachtigall schluchzen süß   und die elfe wiegten sich in+die tanz   die wind|winde wallen die straße hinab und fernher zitternd die geige klingen   und die wasser rauschen träumend hinab die schattendüst'ren waldesgang   da liegen sein haupt an mein brust   und wild sehne|sehnen in ich schwellen   und er küssen ich     und er küssen ich     und mein herz werd weit und mein herz werd voll   und vor ich sinken die welt dahin     es schwinden in nebel zeit und raum und über ich kommen es wie süß schlaf   wie eine todesschwerer bittrer traum   doch als die morgen in osten sich heben     o wie grau und schwer und wie kalt die tag   und er nehmen mein glück und lassen ich nichts zurück als schande und bitt 're schmach   nein   fluchen ' er nicht   schwer fallen die hand die himmel auf sein schön haupt   sein herz glocke haben ausgetönt   und sein gebein sein längst verstauben   die wahnsinn fallen in sein gehirn mit heiß und versengender gluth   gras wuchern an die still ort   wo mein erst liebe ruhen   doch ich   doch ich   nein   wenden nicht dein antlitz einmal noch zurück   ich haben ' auf alle ' und ewig zeit verlieren die liebe   verlieren mein glück   du sein mein sonne   du sein mein tag und mein zukunft süß schein   doch gehen ' hinfort   du dürfen nicht lang bei ich unselig armen sein   ich bleiben nur buße und bitt 're qual   mein tag sinken in dunkel und grau   leben ' wohl   leben ' wohl   und mein gebet führen ' du aus nacht und schmerz hinaus                     ""                   o wie schwer und bangen ' werd ich die herz   und wie bitterweh thut doch dein wort   all ' sonnenlicht und sonnenglanz zeihen|ziehen trüb ' aus mein seele fort   was ich hoffen und heiß ersehnen   liegen wie eine wüst trümmerfeld   die tod schleichen durch die wundenkranke   falsch   sündenverfallene welt   von seufzer schüttert dein brust   als wollen sie zerspringen du   o wie arm und elend   mein liebling du   wie elend sein nun beide wir   es kommen die nebel   die wasser ziehn   und finsternis dräuen mit macht   licht   licht   o säh ich nur eine licht in dies todesdüst'ren nacht   was sollen ich thun   was sollen ich thun   du fahren|führen ich sicher   ewig geist   führen ' mein seele   die durch alle himmel und zeit und raum kreisen   tragen auf adler flügel ich gewaltig zu die stern hinauf   auseinander wehen die wolke   golden thut die himmel sich auf   in die bebend seele fallen|fällen mild eine thräne aus gott aug '   um die glühend stirn wehen es leise wie eine frühlingsrosenhauch   nun heben die auge   mein liebling du   die voll von bitt'ren thränen steh'n   ich fühlen es   ich fühlen es in+die tief busen   nun dürfen ich nimmer von du geh'n   sehen   die welt stehen wider wir auf mit hohn und lache|lachen und kalt spott   trock'ne die thränen von+die auge du ab   mit wir sein die liebe   mit wir sein gott   in feuer|feuern lodern die seele auf   auf flammend wagen fahren sie empor weit über die erde düsternde nacht   und durch die wolke schattendes thor   hoch über die tempel zinne schweben sie stark auf mächtig flügelpaar   von die schwinge|schwingen tropfen die sonne   flammenregnend   leuchtend und klar   tief liegen die welt von schatten bedecken   und thränen und schmerz umhüllen sie dicht   und eine schrei voll wild qual aus tausend blass munden schrecklich brechen   elend und schwach und krank und siech   wie wasser stürzend von fall zu fall   so sinken die mensch fahl dahin   die sünde jubeln überall   und was aus staub gebären sein   und was zeugen von+die weib leben   wer sein so rein   dass wider du die erst stein er zornig heben   doch sehen in+die osten glühen es auf   und palme wehen in+die sonnenlicht   heilige luft wandeln und fließen um dein blaßes angesicht   blüthen flattern und schweben in+die wind|winde und die sonnengeküßte quell gießen durch duftend rosenbusch sein wasser wolkenhell   über die blume   über die palme fliegen engelschaaren empor   und es jubeln mit hell mund durch die luft ihr heilig chor                     ""                   lassen ' die thränen und dein schmerz ausgieß ' in die liebe mitleidig schooß   die liebe allein knüpfen dein seele aus die bande die sünde los   aus nebel und dunkel finsterniß und durch die qual blutig nacht   die liebe führen du auf adlerschwinge   führen du zu+die licht leise und sacht   sanftsegnend über die krank welt ausströmen die liebe golden schein   nur aus die liebe fließen gnade und leben   und die liebe sein gott allein                     ""                   drum schlagen die auge empor   mein liebling   die voll von bitt'ren thränen steh'n   ich fühlen es   ich fühlen es in+die tief busen   nun dürfen ich nimmer von du geh'n   sehen   die welt stehen wider wir auf mit hohn und lache|lachen und kalt spott   trock'ne die thränen von+die auge du ab   mit wir sein die liebe   mit wir sein gott   "
53,Zu Gott!,"Hart, Julius",12,8,"Moderne Dichtercharaktere, hrsg. von Wilhelm Arent. Mit Einleitungen von Hermann Conradi und Karl Henckell. Leipzig 1885.",b'1885',"Arent, Wilhelm",l00180057,wie über sturmgejagten   nachtwirren wasser einsam die mond wandeln   durch wolke verdecken   so über die welt schreiten gott dahin   unser auge schauen du nicht   denn blind von die lust des staubgeborenen sündige|sündigen leib hängen es an+die boden   über wir wallen   dicht wie bergnebel   nur dampf und rauch   aufqualmend von+die blut   die die sünde vergießen   wallen zwischen du und wir   dass höhnisch lippe murren   es sein keine gott   denn alle liebe   die du erschaust unter die menschenkind   sein gemeinheit   ekel   des weib   die mann gluth verlöschen in+die schlamm die lust   und keine freude sein   die nicht in thränen gebären   in thränen ersterben   ich aber erkennen du in dunkel thränennacht   als sehnsucht in ich schwellen   und mild wie eine thautropfen in dürr laub   fallen in mein seele dein erkennen   ich sein entbrennen in liebe zu du   ich lodre wie die sonne   ich glühen wie eine schwert in sausend feuer|feuern   empor   empor durch die dampf   die luft finster grau   flügel   flügel   die du dein schön heilig antlitz verbirgst wir schmerzbeladenen   mühsal leidenden unselig mensch   wollen du in qual wir lassen   ewig verschließen für wir dein herz   nur allein trinken von+die borne dein liebe   wie eine kalt schön geliebte du berauschen an du selber   aber ich wollen dringen zu du   über die welt hinaus   und an die morgig thoren   wo die leib zerfallen in mürbe staub   soll mein seele umfluthet von strahlend ätherfeuern mit du ringen   hüft ' an hüfte   aug ' in auge gluthend   nicht lassen von du   bis du ich segnen   dass ich niedersteige eine gut prometheus   in beide hand schwertragend eine feuerglühende dampfend opferschale   füllen mit die krystallreinen leuchtende welle dein liebe   dass ich sie ausgieße über die dürstend erde   über die arm und elend leiderfüllten mensch   dass aufgehen aus die feurig same die gottesliebe goldstrahlend   sonnenumgluthet die baum ewig freude   niederzwingen wollen ich du   gott   kampf|kämpfen um dein liebe   oder in mein hirn falle mit fressendem rost die wahnsinn   wie eine blitzstrahl ausbrennend   feuer gegen feuer   die gluth die gedanke   
54,>Der Seele Tod,"Hart, Julius",12,2,"Moderne Dichtercharaktere, hrsg. von Wilhelm Arent. Mit Einleitungen von Hermann Conradi und Karl Henckell. Leipzig 1885.",b'1885',"Arent, Wilhelm",l00180058,es gehen eine seltsam weben und athmen durch die nacht   seufzer die sehnsucht beben in dein ohr sacht   die wind|winde gleiten kühl hinab die dunkel weg   und leise stimme flüstern an+die blühend geheg   und in die fern wolke in+die osten blitzen es auf   und von die erde heben sich eine sanft glanz hinauf   es quellen wie licht und leben aus dunkel schooß hervor   es ringen sich gestalt|gestalten aus nacht und tod empor   die welt schauen ihr morgen entgegen sehnsuchtsvoll   wie einst die erst liebe dein herz entgegenschwoll   so dürsten wir 're seele heiß nach die leben gluth   emporzutauchen aus die schwarz todesfluth   und immer wieder ringen sich eine tag aus jede nacht   du   seele   sein aus jede tod noch auferwacht   du wandelst ewig weiter durch nacht und tageslicht   und welt auf welt erheben sich und welt auf welt zerbrechen   auf sonnenschwingen heben sich empor mein herz und sinn   auf gottesflügeln schweb ' ich empor   wohin   wohin   in mein auge fluthet eine morgenheller schein   in mein seele gluthet die gottesaug ' hinein   o glanz   o furchtbar leuchte|leuchten   die mein geist umwallt   du hundertfältig ' leben   dein letzt schrei verhallen   o süß wunderweben   was mein geist umwerben   zu end ' sein die verwandlung   wer gott schauen die sterben   
55,Hört ihr es nicht?...,"Hart, Julius",27,2,"Moderne Dichtercharaktere, hrsg. von Wilhelm Arent. Mit Einleitungen von Hermann Conradi und Karl Henckell. Leipzig 1885.",b'1885',"Arent, Wilhelm",l00180059,hören ihr es nicht   in mein ohr bangen ewig tönen herb dumpf trommelklang   in hell lenznacht in die nachtigall verträumt lied rauschen schwer waffenschall   die sommer glühen in dunkel rose duft   wie rossestampfen schallen es durch die luft   und wenn die wein in+die grün glas quellen     hörst nicht die schlachtwort   die so blutig schrillen   o winternacht   die sturmwind heulend fahren   die starrend weg leer sein odem kehrt   vergebens glühen an+die feuerheerd die rost   stärker als feuer brennen die kalt frost   an haus und wand und an die weg die geleis ' fliegen schnee und knarren die demantharte eis   o winternacht   durch eis und fliegend schnee laute als sturmgeist   schreien eine wild weh   wie an die strand die wüst woge hallen   die nacht hindurch geschrei und schlachtruf schallen   in dunkel schaaren drängen es finster an   mit beil und hammer wogen es dumpf heran   zerlumpt haufe   wie von+die sturm verwirren   die eisen dröhnen   die blank messer klirren   die angesicht   blass wie eine wintertag   sagen   wie die elend gar so fressen mögen   die auge tief   die wange hohl und schmal   auf stirn ' und wang ' die krankheit brand'ges mal   die haar lösen auf braun nacken hängen   die nackt   schwer fuß keine schuh umzwängt   die banner dräuen   wie herzblut dunkelroth   und dort die fahn '   schwarz wie die würger tod   parol ' die fragen   was für eine seltsam wesen   antwort   von+die elend wollen wir genesen   es drängen heran   es wogen die dunkel fluth und in die luft|lüften schwimmen es wie schwarz blut   auf   auf die herz   die an+die thron ihr sitzen   von gold und heiß demantglanz umblitzt   auf   auf die herz   die bei+die duft'gen mahl ihr schwingen die silberstrahlenden weinpokal   sehen ihr es nicht   die zeichen   die sich heben   eine ehern kelch vor euer auge schweben   eine ehern kelch mit thränen anfüllen   in dorn und in stachel einhüllen   hören aus die tiefe schmerzenbanges schrein   auf   auf die herz   lassen die liebe ein   reißen ab die rothe gold von+die sammtgewand   die demantschmuck   die schimmernd perlenband   wir wandeln in die lebenswüste noth   des gold bedürfen es nicht   o geben nur brod   auf   auf die herz   thrän ' um thräne quellen dort in die tiefe   und von seufzer schwellen die bange brust   die aug ' verderblich blitzen   auf   auf ihr herz   die an+die thron ihr sitzen   hören ihr es nicht   in mein ohr bangen ewig tönen herb dumpf trommelklang     
56,Anna,"Hart, Julius",29,2,"Moderne Dichtercharaktere, hrsg. von Wilhelm Arent. Mit Einleitungen von Hermann Conradi und Karl Henckell. Leipzig 1885.",b'1885',"Arent, Wilhelm",l00180060,die drossel rufen von+die lindenbaum   die sonne steigen herauf mit lust   laß einmal noch mein blass haupt sich lehnen müd ' an dein brust   noch einmal laß ich dein hand inbrünstig küssen heiß und schwer     nicht dein mund   nicht dein mund   ich lassen du sonst nimmermehr   maimorgenwind lachen heimlich leis ' und raunen in+die grünend spalier   doch wenn die abend niederfällt   dann sein du   heinrich   nicht mehr hier   nein   nein   dein mund und auge lügen   es wissen dein herz so gut wie ich   und wenn du einst auch heimwärts kehren   nie wieder schauen mein auge du   sonst logst du nie   ich wissen es wohl   sprechen niemals von die gold'nen ring   du   heinrich   sein so klug und ich ein arm unwissend hässlich ding   ich wußt ' es wohl   ich werden nie du dienen treu und still als frau     denn dein hand sein weich und zart   und meinen ganz von arbeit rauh   ich wissen es wohl   wie du du stolz verzehrst nach ruhm und sonnenschein     und in die reich|reiche|reichen hell schloss   ich arm|arme   dürfen nicht mit hinein   ich wußt ' es wohl   ich wußt ' es wohl von+die erst anfang an   dass du   mein unglück   schmach und ew'gen tod     ach alle fügtest du ich zu   ich wußt ' es wohl   dass so es kommen   elend und schande über ich   und dennoch   dennoch kommen es   denn ach   ich lieben gar zu innig du   die drossel rufen von+die lindenbaum   die sonne kommen herauf mit lust   laß einmal noch mein blass haupt sich lehnen müd ' an dein brust   weh   mein busen pressen und sprengen es   eine feuer lodern schwül und heiß   und unter mein herz quellen und regen es sich und athmet leis '   und fallen|fällen hernieder jen nacht   und liegen ' ich blass und leidenswund   dann heinrich sein du fern und küß'st   ach   küß'st wohl eine schön'ren mund   und dennoch sein es von dein fleisch und dennoch leben es von dein blut   und dennoch sehen es dein auge nie   die treu und zärtlich aus er ruhen   nur thränen fühlen es   fallend schwer   glühtropfen   auf sein angesicht   nur seufzer hören es und leise schlag die herz   die in+die tod brechen   und eh es gebären   ertönen er schon die vater und die mutter fluch   wär'st du doch todt   mein kind   mein kind   und lägst du stumm in+die leichentuch       wir sein lang zusammen nun   heinrich   ich glauben   ' s sein schon eine jahr da küßtest du zu+die erst mal verstohlen mein lichtblondes haar   nun lachen heimlich maimorgenwind und raunen in+die grünend spalier   und wenn die abend niederfällt   dann sein du   heinrich nicht mehr hier   und sein du fern   ich wollen ja nicht   dass thränen du um ich vergieß'st   doch denken daran   wie heiß um du aus mein aug ' die thräne fließen     o denken ' zuweilen   wie ich noth und unglück packen so rauh und hart   vergessen es nicht   dass ich aus liebe zu du so sehr unglücklich werd   und führen du einst eine fräulein du zu+die hochzeit und zu+die kirch ' hinab   zu+die letzt mal denken dann   wie die wind gehen über eine fern grab   doch sagen nie   küssen du voll gluth die mund und ihr auge schein   sagen ' nicht   dass du von ich gehen   weil ich so schlecht und so gemein   und spotten du an+die schenktisch nie   wie man an+die schenktisch sonst wohl thut die arm dirne aus die volk   die du so lieben   du so gut   denn thätest du es   denn thätest du es   dann wollen ich sprengen wohl mein grab   und schmettern krankheit und wahnsinn auf dein verflucht haupt herab     dann würf ich blut und flammengluth wohl auf die liebste   was du haben   dann send ' ich in die herz und hirn die ganz hölle du zu gast     o süße   liebste zürnen du   o zürnen ' nicht über solche eine wort     die sonne steigen   die stunde nahen   und du gehen ewig von ich fort   und was ich wollen   liebe du   ich wollen nur   sein nicht betrüben   du haben nicht schuld   ich segnen du   ich haben ' du ja so sehr lieben   ich segnen du für jede wort   für jede kuss von dein mund   und treff ' du nie so hart schmerz und furche dein seele wund   die sonne steigen   die sonne glühen     still   arm herz   die glocke schlagen   die wagen rollen   die wagen rollen   die du auf ewig von ich tragen   noch einmal lassen ' ich dein hand inbrünstig küssen heiß und schwer   nicht dein mund   nicht dein mund   ich lassen sonst du nimmermehr   
57,Nachtwache,"Hart, Julius",5,4,"Moderne Dichtercharaktere, hrsg. von Wilhelm Arent. Mit Einleitungen von Hermann Conradi und Karl Henckell. Leipzig 1885.",b'1885',"Arent, Wilhelm",l00180061,um haupt und leib ich wallen dunkle nebel die nacht   auf herz und sinn fallen finsternis mit macht   die düst'ren wolke schreiten drohend über die land   schatten vorübergleiten und fassen mein gewand   sie fassen an mein seele und greifen in mein hirn   o löschen in nacht und schwelen   verlösche nicht mein gestirn   o waschen mit feuerwellen von mein busen die schuld   ström ' über ich die hell glanz dein gnade und huld   ich sein eine zitternd leuchte   ich sein eine schwach rohr   du   schauen mein auge feuchte   gnade führen ' ich empor   
58,In der Einsamkeit,"Hart, Julius",21,4,"Moderne Dichtercharaktere, hrsg. von Wilhelm Arent. Mit Einleitungen von Hermann Conradi und Karl Henckell. Leipzig 1885.",b'1885',"Arent, Wilhelm",l00180062,fernab fallen|fällen wie fortwandelnder sturm sausen hin verworren lärm die riesenweltstadt   und in die ohr nur tönen ich selten noch eine ruf und müde kinderlallen   locken die erst maiensonntag bunte jubelnd menschenfluthen fort und weg zu goldigspiegelnden wasser   in die weißlichschillernde frühlingsgrün   walten alle   jauchzend herz   wie zu+die gnadenbilde die himmelsfürstin singende mönch mit seiden banner wallen   doch ich werfen die glänzend fluth zu+die seite   da in schmerz erschauerte mein seele   und ich wenden   dunkel in+die herz   wenden die schritt denn eine jede liebeathmende frauenantlitz mahnen ich an dein schönheit   dein trunken kuss und die lüge dein herz   nehmen ich auf   nehmen ich auf   einsamkeit in dein dom   laß eintreten ich   friedsuchenden   und vor dein altar in opferschale ausgießen mein blut und mein thränen   an dein busen nehmen mein haupt   über ich nur sternflammen und wehend wolke     hier versink ' ich in+die weit raum   wandeln wie ihr leuchtend himmelsseelen allein   allein in endlos weite|weiten   einsamkeit   wie beben ich einst vor du   schrecken vor du   wie die erst blüthe schrecken in+die garten vor nachziehend winterfrösten   schauernd vor du bergen ich mein haupt an die frau weiß busen   suchen du heilig liebe   helle   kühl morgenwasser du   dass ich in du baden wollen und gesunden zu ewig hoch wunderfreude   liebe   rosig briefchen ihr   beschmutzen mit lüge|lügen und falsch schwur   in die feuer   in die feuer   vorüber wallen an ich gestalt|gestalten     hinunter   hinunter ihr gleißenden   nicht locken ihr ich wieder   und auch du   waffengenosse   mit die ich stets zusammenstand   umqualmt von+die rauch die schlacht   du   mein schild   du   mein streitbeil   eine mantel decken wir   eine becher laben wir   wir beide   zweig an+die selb baum   bruder wir     nach andere schön stern ausbreitest du die opfernd hand   und von ich fliehen dein auge   allein   allein   feind ringsum   dicht wie wetterschwarze wolke drängen sie gegen ich heran   hier in+die busen   draußen in+die lärmend weltstrom   umlagern mein zelt wie raubthiere   tausend pfeil sein richten gegen mein herz   tausend schwert flammen wider ich   wenn die morgen mit blass mund ich küssen   setzen sich fahl noth zu ich   und wenn die abendnebel fallen|fällen   ruhen mein haupt in+die schoß die leides   aus wirr traum bange erinnerung   wecken ich die schmerz zu+die nachtzeit   nun wardst du zu+die freundin ich   einsamkeit   zu+die hoch schön geliebte   du tönen mein lied   athmend die schauer die zukunft   dein hand liegen auf mein herz   dein kuss fallen auf mein haupt   meine seele zittern in dein arm|arme   du gebärerin groß gedanke   du erzeugerin weltstürmender thaten   du gieß'st in unser busen die schmerz   die wegfegen wie lenzsturm herb '   groß   rauhathmend die welk blatt von die straße   die staub die alltag   die herz acker zerreißen du in wild furche   dass tausendfach munter hervorschießt die gold'ne weizen kühn wollen   du singen wir vor mit düst'rer stimme die uralt   herb lied von+die menschenschicksal   in die welt nackt stoßen einsam steh'n wir auf öde wacht   jede feind die andere   allein kämpfer   allein sieger   eigen kraft nur sein unser schwert   allein nur fallen|fällen du   und keine lebendige tauschen je die goldige fülle sein tag voll erhaben mitleid mit die schatten dein todesnacht   einsamkeit   in dein schooße liegen homers ehrwürdig haupt   und dein hand ruhen auf caesar scheitel   mit glühend auge und brennend herz in die wüste suchen du die welterlöser   und wegscheuchen von+die rothfunkelndem wein brechen vor du stammelnd in die knie die gewaltig brittische herzenserschütt'rer   gießen du feuer in mein seele   und frost in mein gehirn   bad ich in+die drachenblute   und unverwundbar durch du heben ' ich ich auf von+die lager und tragen mein waffe jauchzend die welt entgegen   eine ganz welt in waffe   eine welt in waffe wider ich   wider ich allein   fliege empor mein geist   dein strahlend flügel heben zu+die himmel auf   und eine strahl die sonne bringen ich nieder   eine stern nur von dein himmel erflehe ich   dunkeln zukunft   fliege empor   mein geist   dein mächtig auge werfen in die zukunft nacht   wirbeln auf dunkel staub   drängen an tausend bitt 're lanze   bohren sich tausend pfeil in mein brust   und schmerzzitternd stürzen mein leib nieder auf blutig grund   nichts als leiden gewinnen ich   nichts als jammervoll tod   und vielleicht noch eine schimmer die morgenröthe   eine einzig zweig blühend lorbeers   
59,Lebensergebniß,"Lemmermayer, Fritz",1,28,"Moderne Dichtercharaktere, hrsg. von Wilhelm Arent. Mit Einleitungen von Hermann Conradi und Karl Henckell. Leipzig 1885.",b'1885',"Arent, Wilhelm",l00180063,in angstvoll nacht   frierend und schaudernd   in tag   kalt und trostlos   sein sie ich kund werden   die schrecklich wahrheit   hab ' ich es kennen   doch leider zu fassen nicht lernen   die unerbittlich gesetz   ohn ' erbarmen ward er ich verkünden mit ehern zunge   unter sturm und klage   die eisig spruch die parze   du müssen   o mensch   begraben dein liebste   oder du müssen   du bange geselle   von dein liebste begraben du lassen     von beide welche dünken du die härt 're     sinn und grübeln in tag und nacht die frage nach   und schaudre und lernen fassen und tragen die schrecklich wahrheit   
60,Loos,"Lemmermayer, Fritz",6,4,"Moderne Dichtercharaktere, hrsg. von Wilhelm Arent. Mit Einleitungen von Hermann Conradi und Karl Henckell. Leipzig 1885.",b'1885',"Arent, Wilhelm",l00180064,ich haben ' glühen in mein jugendtag   die ganz welt   ich wähnen   sie sein mein   da siechen ' ich hin   ach tausendfält'ge plage|plagen   sie werfen hämisch auf ich stein um stein   ich bluten aus tausend tief wunde   mein herz schreien auf   ich leiden   leiden ohne schuld   und nie mehr haben ' genesung ich finden   ich haben ' verzichten auf die himmel huld   lernen haben ' ich es in viele böse jahr   entbehren heißen die parze streng spruch   in+die himmel auch   die kalt   götterbaren   ich fürder ich keine vateraug ' mehr suchen '   die grau schwester haben in nächt'gem flüstern ich es zuraunen mit zähnelosem mund   und unter+die brause|brausen hundertjähr'ger rüstern ward   schaudernd   ich eine tief geheimniß kund   seitdem müssen schreiten ich erstarren durch die leben   und doch   o widerspruch     gefühllos nicht   ich fürcht ' und suchen nichts und müssen doch beben   sobald nachtdunkel durch die wolke brechen   wer werd zu+die nacht die herb leid geben   die lernen entsagen jede menschenwahn   doch sehen erinnerung vorbei er schweben   flucht er die stunde   die es er angethan   
61,Menschenopfer,"Lemmermayer, Fritz",8,4,"Moderne Dichtercharaktere, hrsg. von Wilhelm Arent. Mit Einleitungen von Hermann Conradi und Karl Henckell. Leipzig 1885.",b'1885',"Arent, Wilhelm",l00180065,man sagen   die jugend selbst sein glück   ich haben ' es nicht erfahren   ich sein niemals hold gesinnt die dachnistenden laren   ich fehlen   was die jugend brauchen   des frohsinn wohlbehagen   des kummer bleich wange schon als kind ich müssen tragen   die rebe   die keine stäblein haben   muss bald zu grund gehen   ich sein die rebe   werd zerwühlen in wild sturm wehe|wehen   nach du   nach du   mein jesu christ   ich jugendlich ich sehnen   die grausen schicksal ich und du frevelnd und frech verhöhnen   die pöbelhaß   die pöbelwahn haben du an die kreuz schlagen   die schicksal thut die gleiche noch mit wir an alle tag   die alt blut'ge opfer du unblutig haben erneuern   die schicksal opfern blutig fort   keine gott   keine gott er steuern   es schichten stein an stein empor mit riesenkräft'gen arm|arme   ich liegen   eine mensch   auf die altar   es geben   geben keine erbarmen   es rieseln heiß mein blut herab von+die kalt opfersteine   bis dass die letzt tropfen stocken in+die frierend gebein   
